osnma.osnma_core.receiver_state     | INFO     | Start status COLD_START
osnma.osnma_core.dsm_manager        | INFO     | Received block 5 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (4/?): [3, 4, 5, 6]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 15 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 25 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 4 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (4/?): [3, 4, 5, 6]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 30 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 34 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 5 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (4/?): [3, 4, 5, 6]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 36 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 7 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (5/?): [3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 09 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 4 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (5/?): [3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 02 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 5 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (5/?): [3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 34 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 5 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (5/?): [3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 36 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 7 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (5/?): [3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 15 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 25 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 4 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (5/?): [3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 30 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291720 SVID 09 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 4 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (5/?): [3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 02 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 6 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (5/?): [3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 15 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 25 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 5 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (5/?): [3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 30 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 34 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 6 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (5/?): [3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 36 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 0 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (6/8): [0, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 09 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 5 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (6/8): [0, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 05 ---
osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 02 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 6 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (6/8): [0, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 34 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 6 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (6/8): [0, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 36 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 0 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (6/8): [0, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 05 ---
osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 15 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 25 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 5 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (6/8): [0, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 30 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291750 SVID 09 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 5 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (6/8): [0, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291780 SVID 02 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 7 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (6/8): [0, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291780 SVID 15 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291780 SVID 25 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 6 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (6/8): [0, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291780 SVID 30 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291780 SVID 34 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 7 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (6/8): [0, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291780 SVID 36 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 1 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (7/8): [0, 1, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291780 SVID 09 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 6 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (7/8): [0, 1, 3, 4, 5, 6, 7]

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291780 SVID 05 ---
osnma.osnma_core.dsm_manager        | INFO     | Received block 2 for DSM ID 5.
osnma.osnma_core.dsm_manager        | INFO     | DSM ID 5 blocks (8/8): [0, 1, 2, 3, 4, 5, 6, 7]

osnma.osnma_core.receiver_state     | INFO     | KROOT with CID: 3 - PKID: 1 - GST0: WN 1332 TOW 291600
	AUTHENTICATED

osnma.osnma_core.receiver_state     | INFO     | NMAS is TEST.
osnma.osnma_core.receiver_state     | INFO     | Chain in force is 3.
osnma.osnma_core.receiver_state     | INFO     | CPKS is NOMINAL.

osnma.osnma_core.receiver_state     | INFO     | Start status from WARM_START to STARTED.
osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (02, 12, 15) PRN_A: 02}, {ID: (24, 00, 15) PRN_A: 02}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 3 Authenticated at 1332 291660

osnma.osnma_core.tag_verification   | INFO     | Tag verification:

osnma.osnma_core.nav_data_manager   | INFO     | Data authenticated:

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (25, 12, 15) PRN_A: 25}, {ID: (31, 00, 15) PRN_A: 25}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 3 Authenticated at 1332 291660

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (34, 12, 15) PRN_A: 34}, {ID: (27, 00, 15) PRN_A: 34}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 3 Authenticated at 1332 291660

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (36, 12, 15) PRN_A: 36}, {ID: (10, 00, 15) PRN_A: 36}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 3 Authenticated at 1332 291660

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (09, 12, 15) PRN_A: 09}, {ID: (24, 00, 15) PRN_A: 09}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 3 Authenticated at 1332 291660

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (02, 12, 15) PRN_A: 02}, {ID: (24, 00, 15) PRN_A: 02}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 3 Authenticated at 1332 291660

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (34, 12, 15) PRN_A: 34}, {ID: (27, 00, 15) PRN_A: 34}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 3 Authenticated at 1332 291660

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (36, 12, 15) PRN_A: 36}, {ID: (10, 00, 15) PRN_A: 36}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 3 Authenticated at 1332 291660

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (25, 12, 15) PRN_A: 25}, {ID: (31, 00, 15) PRN_A: 25}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 3 Authenticated at 1332 291660

osnma.osnma_core.tag_verification   | INFO     | Non-FLX tags in MACK:	[{ID: (09, 12, 15) PRN_A: 09}, {ID: (24, 00, 15) PRN_A: 09}]

osnma.osnma_core.tag_verification   | INFO     | FLX tags in MACK:	[]

osnma.osnma_core.tesla_chain        | INFO     | Tesla Key 3 Authenticated at 1332 291660

